RestaurantId,ItemName,Description,Price
R001,Beef Burger,Grilled beef patty with fries,9.8
R001,Caesar Salad,Romaine lettuce with house dressing,7
R001,Chicken Rice,Steamed chicken with fragrant rice,5.5
R001,Grilled Steak,Premium sirloin with vegetables,18.5
R001,Mushroom Soup,Creamy forest mushroom soup,6.5
R002,Gyoza Set,Pan-fried dumplings with dipping sauce,8
R002,Pad Thai,Stir-fried rice noodles with peanuts,10.5
R002,Seafood Udon,Thick noodles with prawns and squid,13.5
R002,Spicy Ramen,House-special broth with chilli oil,11.2
R003,Chicken Katsu Bento,Crispy chicken cutlet with rice and sides,12.8
R003,Salmon Teriyaki Bento,Grilled salmon with teriyaki glaze,14.5
R003,Teriyaki Chicken,Grilled chicken with sweet soy glaze,9.5
R003,Vegetable Tempura Bento,Assorted vegetable tempura with rice,10.9
R004,Garlic Bread,Toasted bread with garlic butter,5
R004,Hawaiian Pizza,Ham and pineapple classic,15
R004,Margherita Pizza,Classic tomato and mozzarella,14
R004,Pepperoni Pizza,Loaded with pepperoni slices,16.5
R005,Garden Salad,Fresh mixed greens with vinaigrette,8.5
R005,Greek Salad,Cucumber; tomato; olives and feta,10
R005,Grilled Chicken Salad,Sliced chicken breast on greens,12
R005,Quinoa Bowl,Healthy quinoa with roasted vegetables,11.5
R006,Miso Soup,Traditional Japanese soybean broth,3
R006,Salmon Nigiri,Fresh salmon on vinegared rice,4.5
R006,Tuna Roll,Fresh tuna wrapped in seaweed and rice,8
R007,Classic Cheeseburger,Beef patty with cheddar and pickles,10.5
R007,Crispy Chicken Burger,Deep-fried chicken thigh with slaw,11
R007,Onion Rings,Golden battered onion rings,5.5
R008,Beef Taco,Soft tortilla with minced beef and salsa,4
R008,Chicken Quesadilla,Grilled tortilla with chicken and cheese,9.5
R008,Guacamole & Chips,Fresh avocado dip with corn chips,6
R009,Lasagna,Layered pasta with beef ragu and bechamel,15.5
R009,Pesto Pasta,Basil pesto with pine nuts and olive oil,12
R009,Spaghetti Carbonara,Creamy sauce with bacon and parmesan,13.5
R010,Grilled Asparagus,Lightly charred with lemon zest,6.5
R010,Mashed Potatoes,Creamy potatoes with butter and herbs,5
R010,Ribeye Steak,Juicy 250g ribeye with garlic butter,24.5
R011,Butter Chicken,Creamy tomato-based curry with chicken,14
R011,Garlic Naan,Tandoor-baked flatbread with garlic,3.5
R011,Lamb Rogan Josh,Slow-cooked lamb in aromatic spices,16.5
R012,BBQ Pork Bun,Sweet steamed buns with pork filling,4.5
R012,Har Gow,Translucent shrimp dumplings,5.5
R012,Siew Mai,Steamed pork and shrimp dumplings,5
R013,Berry Waffle,Topped with fresh seasonal berries,9
R013,Chocolate Waffle,Waffle topped with chocolate ganache,8.5
R013,Classic Waffle,Buttery waffle with maple syrup,7.5
R014,Clam Chowder,Thick creamy soup with fresh clams,8.5
R014,Pumpkin Soup,Velvety roasted pumpkin with cream,6.5
R014,Tomato Soup,Rich and roasted tomato blend,6
R015,Chocolate Sprinkles,Chocolate iced donut with sprinkles,3
R015,Custard Filled,Donut with rich vanilla custard,3.5
R015,Glazed Donut,Classic sugar glazed yeast donut,2.5
