RestaurantId,Name,Email
R001,Grill House,grillhouse@email.com
R002,Noodle Palace,noodlepalace@email.com
R003,Bento Express,bentoexpress@email.com
R004,Pizza Corner,pizzacorner@email.com
R005,Salad Bar,saladbar@email.com
R006,Sushi Zen,sushizen@email.com
R007,Burger Barn,burgerbarn@email.com
R008,Taco Town,tacotown@email.com
R009,Pasta Pronto,pastapronto@email.com
R010,Steak Station,steakstation@email.com
R011,Curry Corner,currycorner@email.com
R012,Dim Sum Den,dimsumden@email.com
R013,Waffle World,waffleworld@email.com
R014,Soup Shack,soupshack@email.com
R015,Donut Delight,donutdelight@email.com
